Name,IATA,ICAO,Callsign,Country,Active
SF Airlines,O3,CSS,SHUN FENG,China,Y
Akasa Airlines,QP,AKJ,AKASA AIR,India,Y
Private flight,-,,,,Y
1Time Airline,1T,RNX,NEXTIME,South Africa,Y
40-Mile Air,Q5,MLA,MILE-AIR,United States,Y
Ansett Australia,AN,AAA,ANSETT,Australia,Y
Aigle Azur,ZI,AAF,AIGLE AZUR,France,Y
Aloha Airlines,AQ,AAH,ALOHA,United States,Y
American Airlines,AA,AAL,AMERICAN,United States,Y
Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,Y
Askari Aviation,4K,AAS,AL-AAS,Pakistan,Y
Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,Y
Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,Y
Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,Y
Air Tindi,8T,,,Canadian Territories,Y
Ada Air,ZY,ADE,ADA AIR,Albania,Y
Adria Airways,JP,ADR,ADRIA,Slovenia,Y
Air Europa,UX,AEA,EUROPA,Spain,Y
Aero Benin,EM,AEB,AEROBEN,Benin,Y
Aegean Airlines,A3,AEE,AEGEAN,Greece,Y
Air Europe,PE,AEL,AIR EUROPE,Italy,Y
Alaska Central Express,KO,AER,ACE AIR,United States,Y
ACES Colombia,,AES,ACES,Colombia,Y
Astraeus,5W,AEU,FLYSTAR,United Kingdom,Y
Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine,Y
Air Italy,I9,AEY,AIR ITALY,Italy,Y
Alliance Airlines,QQ,UTY,UNITY,Australia,Y
Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan,Y
Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia,Y
Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
Air France,AF,AFR,AIRFRANS,France,Y
Air Caledonie International,SB,ACI,AIRCALIN,France,Y
Air Salone,2O,,,Sierra Leone,Y
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,Y
Air Namibia,SW,NMB,NAMIBIA,Namibia,Y
Aerolitoral,5D,SLI,COSTERA,Mexico,Y
Air Glaciers,7T,AGV,AIR GLACIERS,Switzerland,Y
Aviogenex,,AGX,GENEX,Serbia,Y
Aeroper,PL,PLI,Aeroperu,Peru,Y
Atlas Blue,8A,BMM,ATLAS BLUE,Morocco,Y
Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan,Y
Avies,U3,AIA,AVIES,Estonia,Y
Airblue,ED,ABQ,PAKBLUE,Pakistan,Y
Airlift International,,AIR,AIRLIFT,United States,Y
Air Berlin,AB,BER,AIR BERLIN,Germany,Y
Air India Limited,AI,AIC,AIRINDIA,India,Y
Air Bourbon,ZB,BUB,BOURBON,Reunion,Y
Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland,Y
Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France,Y
Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel,Y
Air Jamaica,JM,AJM,JAMAICA,Jamaica,Y
Air One,AP,ADH,HERON,Italy,Y
Air Sahara,S2,RSH,SAHARA,India,Y
Air Malta,KM,AMC,AIR MALTA,Malta,Y
Air Japan,NQ,AJX,AIR JAPAN,Japan,Y
Air Korea Co. Ltd.,,AKA,,Republic of Korea,Y
Air Kiribati,4A,AKL,,Kiribati,Y
America West Airlines,HP,AWE,CACTUS,United States,Y
Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,Y
Tatarstan Airlines,U9,TAK,TATARSTAN,Russia,Y
Allegheny Commuter Airlines,,ALO,ALLEGHENY,United States,Y
Air Sunshine,,RSI,AIR SUNSHINE,United States,Y
Air Libert,VD,,,France,Y
Air Malawi,QM,AML,MALAWI,Malawi,Y
Air Sicilia,BM,,,Italy,Y
ATA Airlines,,AMT,AMTRAN,United States,Y
Air Macau,NX,AMU,AIR MACAO,Macao,Y
AMC Airlines,,AMV,,Egypt,Y
Air Seychelles,HM,SEY,SEYCHELLES,Seychelles,Y
AeroMéxico,AM,AMX,AEROMEXICO,Mexico,Y
All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
Air Nostrum,YW,ANE,AIR NOSTRUM,Spain,Y
Air Niugini,PX,ANG,NUIGINI,Papua New Guinea,Y
Air Arabia,G9,ABY,ARABIA,United Arab Emirates,Y
Air Canada,AC,ACA,AIR CANADA,Canada,Y
Air Baltic,BT,BTI,AIRBALTIC,Latvia,Y
Air Nippon,EL,ANK,ANK AIR,Japan,Y
Airnorth,TL,ANO,TOPEND,Australia,Y
Air North Charter - Canada,4N,ANT,AIR NORTH,Canada,Y
Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand,Y
Alitalia Express,XM,SMX,ALIEXPRESS,Italy,Y
Aero Flight,GV,ARF,Aero Fox,Germany,Y
Arrow Air,JW,APW,BIG A,United States,Y
Aerocondor,2B,ARD,AEROCONDOR,Portugal,Y
Aires,4C,ARE, Aerovias de Integracion Regional, S.A.,Y
Aerolineas Argentinas,AR,ARG,ARGENTINA,Argentina,Y
Alaska Airlines,AS,ASA, Inc.,ALASKA,Y
Air Sinai,4D,ASD,AIR SINAI,Egypt,Y
Atlantic Southeast Airlines,EV,ASQ,ACEY,United States,Y
Astrakhan Airlines,OB,ASZ,AIR ASTRAKHAN,Russia,Y
Air Tanzania,TC,ATC,TANZANIA,Tanzania,Y
Air Burkina,2J,VBW,BURKINA,Burkina Faso,Y
Airlines Of Tasmania,FO,ATM,AIRTAS,Australia,Y
Air Saint Pierre,PJ,SPM,,France,Y
Austrian Airlines,OS,AUA,AUSTRIAN,Austria,Y
Air Southwest,,WOW,SWALLOW,United Kingdom,Y
Augsburg Airways,IQ,AUB,AUGSBURG-AIR,Germany,Y
ATUR,,TUR,,Ecuador,Y
Abu Dhabi Amiri Flight,MO,AUH,SULTAN,United Arab Emirates,Y
Aeroflot-Nord,5N,AUL,DVINA,Russia,Y
Aurigny Air Services,GR,AUR,AYLINE,United Kingdom,Y
Austral Lineas Aereas,AU,AUT,AUSTRAL,Argentina,Y
Avianca - Aerovias Nacionales de Colombia,AV,AVA, S.A.,AVIANCA,Y
Air Vanuatu,NF,AVN,AIR VAN,Vanuatu,Y
Air Bangladesh,B9,BGD,AIR BANGLA,Bangladesh,Y
Air Mediterranee,DR,BIE,MEDITERRANEE,France,Y
Air Moorea,,TAH,AIR MOOREA,France,Y
Aeroline GmbH,7E,AWU,SYLT-AIR,Germany,Y
Air Wales,6G,AWW,RED DRAGON,United Kingdom,Y
Air Caraïbes,TX,FWI,FRENCH WEST,France,Y
Air India Express,IX,AXB,EXPRESS INDIA,India,Y
Air Exel,XT,AXL,EXEL COMMUTER,Netherlands,Y
AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia,Y
Atlant-Soyuz Airlines,3G,AYZ,ATLANT-SOYUZ,Russia,Y
Alitalia,AZ,AZA,ALITALIA,Italy,Y
Amaszonas,Z8,AZN,,Bolivia,Y
Air Zimbabwe,UM,AZW,AIR ZIMBABWE,Zimbabwe,Y
Aserca Airlines,R7,OCA,AROSCA,Venezuela,Y
Rossiya-Russian Airlines,FV,SDM,PULKOVO,Russia,Y
American Eagle Airlines,MQ,EGF,EAGLE FLIGHT,United States,Y
AD Aviation,,VUE,FLIGHTVUE,United Kingdom,Y
Air Ivoire,VU,VUN,AIRIVOIRE,Ivory Coast,Y
Air Botswana,BP,BOT,BOTSWANA,Botswana,Y
Air Foyle,GS,UPA,FOYLE,United Kingdom,Y
Air Tahiti,VT,VTA,AIR TAHITI,French Polynesia,Y
Air VIA,VL,VIM,,Bulgaria,Y
Africa West,FK,WTA,WEST TOGO,Togo,Y
ATRAN Cargo Airlines,V8,VAS,ATRAN,Russian Federation,Y
Air China,CA,CCA,AIR CHINA,China,Y
Aero Condor Peru,Q6,CDP,CONDOR-PERU,Peru,Y
Air Chathams,CV,CVA,CHATHAM,New Zealand,Y
Air Marshall Islands,CW,CWM,AIR MARSHALLS,Marshall Islands,Y
Access Air,ZA,CYD,CYCLONE,United States,Y
Air Algerie,AH,DAH,AIR ALGERIE,Algeria,Y
Adam Air,KI,DHI,ADAM SKY,Indonesia,Y
Air Dolomiti,EN,DLA,DOLOMOTI,Italy,Y
Aeroflot-Don,D9,DNV,DONAVIA,Russia,Y
Air Madrid,NM,DRD,ALADA AIR,Spain,Y
Aer Lingus,EI,EIN,SHAMROCK,Ireland,Y
Air Finland,OF,FIF,AIR FINLAND,Finland,Y
Airfix Aviation,,FIX,AIRFIX,Finland,Y
Air Pacific,FJ,FJI,PACIFIC,Fiji,Y
Atlantic Airways,RC,FLI,FAROELINE,Faroe Islands,Y
Air Florida,QH,FLZ,AIR FLORIDA,United States,Y
Air Iceland,NY,FXI,FAXI,Iceland,Y
Air Philippines,2P,GAP,ORIENT PACIFIC,Philippines,Y
Air Guinee Express,2U,GIP,FUTURE EXPRESS,Guinea,Y
Air Greenland,GL,GRL,GREENLAND,Denmark,Y
Atlas Air,5Y,GTI,GIANT,United States,Y
Air Guyane,GG,GUY,GREEN BIRD,French Guiana,Y
Air Bagan,W9,JAB,AIR BAGAN,Myanmar,Y
Air Canada Jazz,QK,JZA,JAZZ,Canada,Y
Atlasjet,KK,KKK,ATLASJET,Turkey,Y
Air Koryo,JS,KOR,AIR KORYO,Democratic People's Republic of Korea,Y
Air Astana,KC,KZR,ASTANALINE,Kazakhstan,Y
Albanian Airlines,LV,LBC,ALBANIAN,Albania,Y
Air Alfa,,LFA,,Turkey,Y
Aerolane,XL,LNE,LAN ECUADOR,Ecuador,Y
Atlantis European Airways,TD,LUR,,Armenia,Y
Air Luxor,LK,LXR,AIRLUXOR,Portugal,Y
Air Mauritius,MK,MAU,AIRMAURITIUS,Mauritius,Y
Air Madagascar,MD,MDG,AIR MADAGASCAR,Madagascar,Y
Air Moldova,9U,MLD,AIR MOLDOVA,Moldova,Y
Air Plus Comet,A7,MPD,RED COMET,Spain,Y
Astair,8D,,,Russian Federation,Y
Aero Contractors,AJ,NIG,AEROLINE,Nigeria,Y
Aeropelican Air Services,OT,PEL,PELICAN,Australia,Y
Aer Arann,RE,REA,AER ARANN,Ireland,Y
Air Austral,UU,REU,REUNION,France,Y
Asian Spirit,6K,RIT,ASIAN SPIRIT,Philippines,Y
Air Afrique,RK,RKA,AIRAFRIC,Ivory Coast,Y
Airlinair,A5,RLA,AIRLINAIR,France,Y
Aero Lanka,QL,RLN,AERO LANKA,Sri Lanka,Y
Air Salone,20,RNE,AIR SALONE,Sierra Leone,Y
Armavia,U8,RNV,ARMAVIA,Armenia,Y
AeroRep,P5,RPB,AEROREPUBLICA,Colombia,Y
Aero-Service,BF,RSR,CONGOSERV,Republic of the Congo,Y
Aerosur,5L,RSU,AEROSUR,Bolivia,Y
Aeronorte,,RTE,LUZAVIA,Portugal,Y
Avient Aviation,Z3,SMJ,AVAVIA,Zimbabwe,Y
Aircompany Yakutia,R3,SYL,AIR YAKUTIA,Russia,Y
Aeromar,VW,TAO,TRANS-AEROMAR,Mexico,Y
Arkefly,OR,TFL,ARKEFLY,Netherlands,Y
Airlines PNG,CG,TOK,BALUS,Papua New Guinea,Y
AirTran Airways,FL,TRS,CITRUS,United States,Y
Air Transat,TS,TSC,TRANSAT,Canada,Y
Avialeasing Aviation Company,EC,TWN,TWINARROW,Uzbekistan,Y
Tyrolean Airways,VO,TYR,TYROLEAN,Austria,Y
Aerolineas Galapagos (Aerogal),2K,GLG,AEROGAL,Ecuador,Y
Alrosa Mirny Air Enterprise,6R,DRU,MIRNY,Russia,Y
British Airways,BA,BAW,SPEEDBIRD,United Kingdom,Y
Biman Bangladesh Airlines,BG,BBC,BANGLADESH,Bangladesh,Y
Belair Airlines,4T,BHP,BELAIR,Switzerland,Y
Bahamasair,UP,BHS,BAHAMAS,Bahamas,Y
Balkan Bulgarian Airlines,LZ,,,,Y
British International Helicopters,BS,BIH,BRINTEL,United Kingdom,Y
BF-Lento OY,,BKF,BAKERFLIGHT,Finland,Y
Bangkok Airways,PG,BKP,BANGKOK AIR,Thailand,Y
Blue1,KF,BLF,BLUEFIN,Finland,Y
Baltic Airlines,,BLL,BALTIC AIRLINES,Russia,Y
Bearskin Lake Air Service,JV,BLS,BEARSKIN,Canada,Y
Bellview Airlines,B3,BLV,BELLVIEW AIRLINES,Nigeria,Y
bmi,BD,BMA,MIDLAND,United Kingdom,Y
bmibaby,WW,BMI,BABY,United Kingdom,Y
Bemidji Airlines,CH,BMJ,BEMIDJI,United States,Y
British Midland Regional,,BMR,,United Kingdom,Y
Blue Panorama Airlines,BV,BPA,BLUE PANOROMA,Italy,Y
Budapest Aircraft Services/Manx2,,BPS,BASE,Hungary,Y
Bering Air,8E,BRG,BERING AIR,United States,Y
Brazilian Air Force,,BRS,BRAZILIAN AIR FORCE,Brazil,Y
Belavia Belarusian Airlines,B2,BRU,BELARUS AVIA,Belarus,Y
Metro Batavia,7P,BTV,BATAVIA,Indonesia,Y
Berjaya Air,J8,BVT,BERJAYA,Malaysia,Y
Blue Wings,QW,BWG,BLUE WINGS,Germany,Y
Brit Air,DB,BZH,BRITAIR,France,Y
Brussels Airlines,SN,DAT,BEE-LINE,Belgium,Y
Binter Canarias,NT,IBB,,Spain,Y
Blue Air,0B,JOR,BLUE TRANSPORT,Romania,Y
British Mediterranean Airways,KJ,LAJ,BEE MED,United Kingdom,Y
Bulgaria Air,FB,LZB,FLYING BULGARIA,Bulgaria,Y
Barents AirLink,8N,NKF,NORDFLIGHT,Sweden,Y
CAL Cargo Air Lines,5C,ICL,CAL,Israel,Y
Calima Aviacion,XG,CLI,CALIMA,Spain,Y
Canadian Airlines,CP,CDN,CANADIAN,Canada,Y
Canadian North,5T,MPE,EMPRESS,Canada,Y
Cape Air,9K,KAP,CAIR,United States,Y
Caribbean Airlines,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
Carpatair,V3,KRP,CARPATAIR,Romania,Y
Caspian Airlines,RV,CPN,CASPIAN,Iran,Y
